=== MATH333 Final Project Output ===
Generated: 2025-11-26 02:54:21
Output file: results/output_20251126_025421.txt

c = 0.010, d = 0.060, E(c,d) = 1.6643e-04
c = 0.010, d = 0.070, E(c,d) = 2.8031e-04
c = 0.010, d = 0.080, E(c,d) = 6.0920e-04
c = 0.010, d = 0.090, E(c,d) = 1.1521e-03
c = 0.010, d = 0.100, E(c,d) = 1.9075e-03
c = 0.010, d = 0.110, E(c,d) = 2.8731e-03
c = 0.010, d = 0.120, E(c,d) = 4.0459e-03
c = 0.010, d = 0.130, E(c,d) = 5.4224e-03
c = 0.010, d = 0.140, E(c,d) = 6.9983e-03
c = 0.010, d = 0.150, E(c,d) = 8.7688e-03
c = 0.010, d = 0.160, E(c,d) = 1.0728e-02
c = 0.010, d = 0.170, E(c,d) = 1.2871e-02
c = 0.010, d = 0.180, E(c,d) = 1.5190e-02
c = 0.010, d = 0.190, E(c,d) = 1.7678e-02
c = 0.010, d = 0.200, E(c,d) = 2.0327e-02
c = 0.020, d = 0.000, E(c,d) = 3.9484e-03
c = 0.020, d = 0.010, E(c,d) = 2.8655e-03
c = 0.020, d = 0.020, E(c,d) = 1.9893e-03
c = 0.020, d = 0.030, E(c,d) = 1.3225e-03
c = 0.020, d = 0.040, E(c,d) = 8.6761e-04
c = 0.020, d = 0.050, E(c,d) = 6.2621e-04
c = 0.020, d = 0.060, E(c,d) = 5.9928e-04
c = 0.020, d = 0.070, E(c,d) = 7.8714e-04
c = 0.020, d = 0.080, E(c,d) = 1.1894e-03
c = 0.020, d = 0.090, E(c,d) = 1.8051e-03
c = 0.020, d = 0.100, E(c,d) = 2.6326e-03
c = 0.020, d = 0.110, E(c,d) = 3.6695e-03
c = 0.020, d = 0.120, E(c,d) = 4.9127e-03
c = 0.020, d = 0.130, E(c,d) = 6.3588e-03
c = 0.020, d = 0.140, E(c,d) = 8.0033e-03
c = 0.020, d = 0.150, E(c,d) = 9.8414e-03
c = 0.020, d = 0.160, E(c,d) = 1.1867e-02
c = 0.020, d = 0.170, E(c,d) = 1.4075e-02
c = 0.020, d = 0.180, E(c,d) = 1.6458e-02
c = 0.020, d = 0.190, E(c,d) = 1.9009e-02
c = 0.020, d = 0.200, E(c,d) = 2.1719e-02
c = 0.030, d = 0.000, E(c,d) = 4.2012e-03
c = 0.030, d = 0.010, E(c,d) = 3.1962e-03
c = 0.030, d = 0.020, E(c,d) = 2.3972e-03
c = 0.030, d = 0.030, E(c,d) = 1.8072e-03
c = 0.030, d = 0.040, E(c,d) = 1.4283e-03
c = 0.030, d = 0.050, E(c,d) = 1.2622e-03
c = 0.030, d = 0.060, E(c,d) = 1.3097e-03
c = 0.030, d = 0.070, E(c,d) = 1.5711e-03
c = 0.030, d = 0.080, E(c,d) = 2.0460e-03
c = 0.030, d = 0.090, E(c,d) = 2.7333e-03
c = 0.030, d = 0.100, E(c,d) = 3.6313e-03
c = 0.030, d = 0.110, E(c,d) = 4.7376e-03
c = 0.030, d = 0.120, E(c,d) = 6.0490e-03
c = 0.030, d = 0.130, E(c,d) = 7.5620e-03
c = 0.030, d = 0.140, E(c,d) = 9.2721e-03
c = 0.030, d = 0.150, E(c,d) = 1.1174e-02
c = 0.030, d = 0.160, E(c,d) = 1.3263e-02
c = 0.030, d = 0.170, E(c,d) = 1.5532e-02
